Date,series1
2019-07-01,2566.097144283233
2019-07-02,3158.273408348595
2019-07-03,2921.40290272245
2019-07-04,2625.3147706897694
2019-07-05,3197.751825952952
2019-07-06,2467.4011002723396
2019-07-07,2704.2716058984843
2019-07-08,2546.3579354810545
2019-07-09,2447.6618914701608
2019-07-10,2427.922682667982
2019-07-11,1954.1816714156928
2019-07-12,2881.9244851180924
2019-07-13,236.8705056261446
2019-07-14,4401.843562885853
2019-07-15,2941.1421115246285
2019-07-16,3355.665496370382
2019-07-17,3296.4478699638457
2019-07-18,2250.2698034483738
2019-07-19,3335.926287568203
2019-07-20,3099.0557819420583
2019-07-21,2506.879517876697
2019-07-22,2901.6636939202713
2019-07-23,3395.143913974739
2019-07-24,2605.5755618875905
2019-07-25,2171.312968239659
2019-07-26,3276.708661161667
2019-07-27,2546.3579354810545
2019-07-28,3178.012617150773
2019-07-29,2762.5656194150124
2019-07-30,3441.0815470080147
2019-08-01,3511.119404708408
2019-08-02,2747.7263090062497
2019-08-03,2683.095604742196
2019-08-04,1540.0888434049973
2019-08-05,2782.256520997404
2019-08-06,2628.5305881143104
2019-08-07,2672.3214428419633
2019-08-08,2665.1795738826786
2019-08-09,2058.665889707025
2019-08-10,2370.267391131011
2019-08-11,-671.2485061633824
2019-08-12,4669.88529995199
2019-08-13,3188.955183599758
2019-08-14,3686.834045224634
2019-08-15,3641.5620178980134
2019-08-16,2901.8887009253986
2019-08-17,3006.803901243133
2019-08-18,2279.395699890656
2019-08-19,2951.252198977571
2019-08-20,3379.4432966541367
2019-08-21,3966.380447376114
2019-08-22,3201.8680895663656
2019-08-23,3018.960937572977
2019-08-24,3138.379494297786
2019-08-25,1903.8226607309882
2019-08-26,4653.844117858482
2019-08-27,4361.16943514239
2019-08-28,5047.166846659308
2019-08-29,5072.819100583701
2019-08-30,4539.401725277942
2019-08-31,3632.9683909144105
2019-09-01,991.8740328755985
2019-09-02,3872.232119273818
2019-09-03,3596.666985531426
2019-09-04,3463.623516411164
2019-09-05,3038.3108370884065
2019-09-06,2461.330029034964
2019-09-07,1921.7998025513325
2019-09-08,-1585.8675103905746
2019-09-09,4488.893237779888
2019-09-10,3038.016838156636
2019-09-11,3444.8774942175523
2019-09-12,3364.1884700185556
2019-09-13,2518.71817874033
2019-09-14,2368.4961661500142
2019-09-15,898.0965702061392
2019-09-16,2553.184285277363
2019-09-17,2942.308316728342
2019-09-18,3506.638313772883
2019-09-19,2803.548928868033
2019-09-20,2520.4695908513995
2019-09-21,2648.714021425471
2019-09-22,525.0855731647423
2019-09-23,4255.5820241546035
2019-09-24,3959.9891497936965
2019-09-25,4530.108295373481
2019-09-26,4628.578616200292
2019-09-27,3991.0919502982606
2019-09-28,3205.658384855909
2019-09-29,-197.48595111913846
2019-09-30,3932.488351433861
